,handle,text,cleantext
858,1,The right to vote is still the most powerful nonviolent tool of transformation we have RepJohnLewis,right vote still powerful nonviolent tool transformation RepJohnLewis
859,1,Were stronger togetherand the diversity of our athletes in Rio proved it,stronger togetherand diversity athletes Rio proved
860,1,When Trump was starting in business he was sued by the Justice Department for refusing to rent to black tenants,Trump starting business sued Justice Department refusing rent black tenants
861,1,53 years ago Dr King told us his dream Today lets recommit ourselves to the march toward equality for all H,53 years ago Dr King told us dream Today lets recommit march toward equality H
862,1,Hillarys small business plan cut paperwork improve funding access save businesses,Hillarys small business plan cut paperwork improve funding access save businesses
863,0,Thank you Arizona! VoteTrump,Thank Arizona! VoteTrump
864,0,Join me Tuesday in Everett Washington at the Xfinity Arena! Tickets,Join Tuesday Everett Washington Xfinity Arena! Tickets
865,0,LindaHarden realDonaldTrump America loves Trump and mike_pence praying for you every day Stay strong TrumpPence2016 NeverHillary,LindaHarden realDonaldTrump America loves Trump mike_pence praying every day Stay strong TrumpPence2016 NeverHillary
866,0,NATIONAL DEBT January 2009 106 TRILLION August 2016 194 TRILLION,NATIONAL DEBT January 2009 106 TRILLION August 2016 194 TRILLION
867,0,It was an honor to have the amazing Root family join me in Iowa I have been so inspired by their courage amp bravery,honor amazing Root family join Iowa inspired courage amp bravery
868,1,Families across America are feeling the strain from prescription drug pricegouging Heres how well take this on,Families across America feeling strain prescription drug pricegouging Heres well take
869,0,Thank you Iowa! ImWithYou,Thank Iowa! ImWithYou
870,0,Just landed in Iowa to attend a great event in honor of wonderful Senator JoniErnst Look forward to being with all of my friends,landed Iowa attend great event honor wonderful Senator JoniErnst Look forward friends
871,1,Helping small businesses succeed is about more than policyits personal,Helping small businesses succeed policyits personal
872,0,My condolences to Dwyane Wade and his family on the loss of Nykea Aldridge They are in my thoughts and prayers,condolences Dwyane Wade family loss Nykea Aldridge thoughts prayers
873,1,You can learn a lot about a person by the company they keep Heres some of the company Trump keeps,learn lot person company keep Heres company Trump keeps
874,0,Dwyane Wades cousin was just shot and killed walking her baby in Chicago Just what I have been saying AfricanAmericans will VOTE TRUMP!,Dwyane Wades cousin shot killed walking baby Chicago saying AfricanAmericans VOTE TRUMP!
875,0,GoldJazz559 BlackMenForBernie Leader Hillary2016 No Regard For Black Race via dailycaller BlacksForTrump,GoldJazz559 BlackMenForBernie Leader Hillary2016 Regard Black Race via dailycaller BlacksForTrump
876,0,DiamondandSilk Crooked Hillary getting desperate On TV bashing Trump CNN she forgot how she said a KKK member was her mentor,DiamondandSilk Crooked Hillary getting desperate TV bashing Trump CNN forgot said KKK member mentor
877,0,Heroin overdoses are taking over our children and others in the MIDWEST Coming in from our southern border We need strong border amp WALL!,Heroin overdoses taking children others MIDWEST Coming southern border need strong border amp WALL!
878,0,New polls join the MOVEMENT today ImWithYou,New polls join MOVEMENT today ImWithYou
879,0,Join us via our new AmericaFirst APP! TrumpPence16,Join us via new AmericaFirst APP! TrumpPence16
880,0,Will be in Phoenix Arizona on Wednesday Changing venue to much larger one Demand is unreal Polls looking great! ImWithYou,Phoenix Arizona Wednesday Changing venue much larger one Demand unreal Polls looking great! ImWithYou
881,1,Happy National Dog Day!,Happy National Dog Day!
882,0,Thank you TeamTrump Florida Keep me updated and lets get those 100000 registered voters! MakeAmericaGreatAgain,Thank TeamTrump Florida Keep updated lets get 100000 registered voters! MakeAmericaGreatAgain
883,0,I will be interviewed by kimguilfoyle at 7pm on FoxNews Enjoy!,interviewed kimguilfoyle 7pm FoxNews Enjoy!
884,1,Making it easier to live the American Dream means making it easier to start and grow a small business,Making easier live American Dream means making easier start grow small business
885,1,Daughter business owner and immigrant Meet Luisachaser of the American Dream,Daughter business owner immigrant Meet Luisachaser American Dream
886,1,Happy WomensEqualityDay from realDonaldTrump,Happy WomensEqualityDay realDonaldTrump
887,0,Army training slide lists Hillary Clinton as insider threat,Army training slide lists Hillary Clinton insider threat
888,1,So what has the ClintonFdn been up to Helping millions of people get more affordable medicine to treat HIVAIDS,ClintonFdn Helping millions people get affordable medicine treat HIVAIDS
889,0,Meet the Trumpocrats Lifelong Democrats Breaking w Party Over Hillary to Support Donald Trump for President,Meet Trumpocrats Lifelong Democrats Breaking w Party Hillary Support Donald Trump President
890,0,Hillary Clinton Deleted Emails Using Program Intended To Prevent Recovery CrookedHillary,Hillary Clinton Deleted Emails Using Program Intended Prevent Recovery CrookedHillary
891,0,How quickly people forget that Crooked Hillary called AfricanAmerican youth SUPER PREDATORS Has she apologized,quickly people forget Crooked Hillary called AfricanAmerican youth SUPER PREDATORS apologized
892,1,Yes realDonaldTrump really did say all of these hateful things,Yes realDonaldTrump really say hateful things
893,1,On WomensEqualityDay celebrate your right to vote by making sure youre ready to exercise it,WomensEqualityDay celebrate right vote making sure youre ready exercise
894,1,Even as we celebrate the 19th Amendment remember the struggle for voting rights continued for women of color That fight continues today,Even celebrate 19th Amendment remember struggle voting rights continued women color fight continues today
895,1,On this day in 1920 the 19th Amendment was adopted and many women won the right to vote Lets break more ceilings,day 1920 19th Amendment adopted many women right vote Lets break ceilings
896,0,I am very proud to have brought the subject of illegal immigration back into the discussion Such a big problem for our countryI will solve,proud brought subject illegal immigration back discussion big problem countryI solve
897,1,Weve made our union more perfect because people refused to be kept on the sidelines Onward WomensEqualityDay,Weve made union perfect people refused kept sidelines Onward WomensEqualityDay
898,0,Wonderful pastormarkburns was attacked viciously and unfairly on MSNBC by crazy morningmika on low ratings Morning_Joe Apologize!,Wonderful pastormarkburns attacked viciously unfairly MSNBC crazy morningmika low ratings Morning_Joe Apologize!
899,0,What do AfricanAmericans and Hispanics have to lose by going with me Look at the poverty crime and educational statistics I will fix it!,AfricanAmericans Hispanics lose going Look poverty crime educational statistics fix it!
900,1,Countless women fought to win the right to vote On the anniversary of the 19th Amendments adoption lets recommit to protecting it H,Countless women fought win right vote anniversary 19th Amendments adoption lets recommit protecting H
901,0,Crooked Hillary will NEVER be able to solve the problems of poverty education and safety within the AfricanAmerican amp Hispanic communities,Crooked Hillary NEVER able solve problems poverty education safety within AfricanAmerican amp Hispanic communities
902,1,Republican leaders should take a look at who theyre standing with,Republican leaders take look theyre standing
903,0,The Clintons are the real predators,Clintons real predators
904,0,Lewenskimo Your opponent has run out of ideas now resorts to personal attacks on you Every Amercan knows you represent HOPE!!,Lewenskimo opponent run ideas resorts personal attacks Every Amercan knows represent HOPE!!
905,1,Donald Trumps campaign of prejudice and paranoia is unlike anything weve seenand its profoundly dangerous,Donald Trumps campaign prejudice paranoia unlike anything weve seenand profoundly dangerous
906,0,Hillary Clinton needs to address the racist undertones of her 2008 campaign FlashbackFriday,Hillary Clinton needs address racist undertones 2008 campaign FlashbackFriday
907,0,DonaldJTrumpJr Company Gouging Price Of EpiPens Is A Clinton Foundation Donor And Partner via dailycaller,DonaldJTrumpJr Company Gouging Price EpiPens Clinton Foundation Donor Partner via dailycaller
908,0,foxnation Flashback Hillary Clinton Praised Former KKK Member Robert Byrd as Friend and Mentor,foxnation Flashback Hillary Clinton Praised Former KKK Member Robert Byrd Friend Mentor
909,0,CLINTON CORRUPTION AND HER SABOTAGE OF THE INNER CITIES Full speech transcript,CLINTON CORRUPTION SABOTAGE INNER CITIES Full speech transcript
910,0,Hillary Clinton only knows how to make a speech when it is a hit on me No policy and always very short stamina Media gives her a pass!,Hillary Clinton knows make speech hit policy always short stamina Media gives pass!
911,1,Trumps bigoted rhetoric and policy proposals arent a dog whistle We hear him loud and clear,Trumps bigoted rhetoric policy proposals arent dog whistle hear loud clear
912,1,Its not a coincidence that white supremacists proudly support Trump,coincidence white supremacists proudly support Trump
913,0,HRC is using the oldest play in the Dem playbook when their policies fail they are left wthis one tired argument!,HRC using oldest play Dem playbook policies fail left wthis one tired argument!
914,1,Trump asked what the African American community has to lose by voting for him MarlonDMarshalls response,Trump asked African American community lose voting MarlonDMarshalls response
915,0,Hillary Clinton is using racebaiting to try to get AfricanAmerican voters but they know she is all talk and NO ACTION!,Hillary Clinton using racebaiting try get AfricanAmerican voters know talk ACTION!
916,1,Lesdoggg no one deserves thisleast of all someone who brings us so much joy Im with you H,Lesdoggg one deserves thisleast someone brings us much joy Im H
917,0,Hillary Clintons short speech is pandering to the worst instincts in our society She should be ashamed of herself!,Hillary Clintons short speech pandering worst instincts society ashamed herself!
918,0,Just watched recap of CrookedHillarys speech Very short and lies She is the only one fearmongering!,watched recap CrookedHillarys speech short lies one fearmongering!
919,1,Trump says he wants to make America great again but his real message remains make America hate again,Trump says wants make America great real message remains make America hate
920,1,This election is too important for anyone to sit out Text JOIN to 47246 or go to Lets go win this together,election important anyone sit Text JOIN 47246 go Lets go win together
921,1,Our rising generation of young Americans is the most open diverse and connected weve ever seen,rising generation young Americans open diverse connected weve ever seen
922,1,Every day more Americans are standing up and saying enough is enoughincluding a lot of Republicans Im honored to have their support,Every day Americans standing saying enough enoughincluding lot Republicans Im honored support
923,1,In 2008 John McCain told his own supporters that Barack Obama is an American citizen and a decent person,2008 John McCain told supporters Barack Obama American citizen decent person
924,1,The week after 911 George W Bush went to a mosque and declared for everyone to hear that Muslims love America just as much as I do,week 911 George W Bush went mosque declared everyone hear Muslims love America much
925,1,20 years ago when Bob Dole accepted the Republican nomination he pointed to the exits and told any racists in the Party to get out,20 years ago Bob Dole accepted Republican nomination pointed exits told racists Party get
926,1,Theres an old Mexican proverb that says Tell me with whom you walk and I will tell you who you are We know who Trump is,Theres old Mexican proverb says Tell walk tell know Trump
927,1,A fringe element has effectively taken over Trumps campaign and the Republican Party,fringe element effectively taken Trumps campaign Republican Party
928,1,Trump hired the head of Breitbart News to be CEO of his campaign Heres a sample of their work,Trump hired head Breitbart News CEO campaign Heres sample work
929,1,Trump likes to say he only hires the best people but hes had to fire so many campaign managers its like an episode of the Apprentice,Trump likes say hires best people hes fire many campaign managers like episode Apprentice
930,1,Trump would ban every Muslim around the world15 billion men women and childrenfrom entering the US just because of their religion,Trump would ban every Muslim around world15 billion men women childrenfrom entering US religion
931,1,Trump would abolish this bedrock constitutional principle if youre born in the US youre an American citizen,Trump would abolish bedrock constitutional principle youre born US youre American citizen
932,1,Trump would form an armed deportation force to round up millions of immigrants and kick them out of the country,Trump would form armed deportation force round millions immigrants kick country
933,1,Look at the policies Trump has proposedthey would put prejudice into practice,Look policies Trump proposedthey would put prejudice practice
934,1,Donald Trump is temperamentally unfit to be president of the United States,Donald Trump temperamentally unfit president United States
935,1,Someone as detached from reality as Donald Trump should never be in charge of making decisions that are as real as they come,Someone detached reality Donald Trump never charge making decisions real come
936,1,Trump suggested that Ted Cruzs father was involved in the Kennedy assassination Of course theres absolutely no evidence of that,Trump suggested Ted Cruzs father involved Kennedy assassination course theres absolutely evidence
937,1,Trump claimed that thousands of American Muslims in New Jersey cheered the 911 attacks They didnt,Trump claimed thousands American Muslims New Jersey cheered 911 attacks didnt
938,1,When Donald Trump was asked about antiSemitic slurs and death threats coming from his supporters he refused to condemn them,Donald Trump asked antiSemitic slurs death threats coming supporters refused condemn
939,1,Trump refused to disavow the support of David Duke a notorious former leader of the Ku Klux Klan,Trump refused disavow support David Duke notorious former leader Ku Klux Klan
940,1,Trump famously posted an antiSemitic graphic that first appeared on a white supremacist website,Trump famously posted antiSemitic graphic first appeared white supremacist website
941,1,Trump retweets white supremacists He took a fringe bigot and spread his message to 11 million people,Trump retweets white supremacists took fringe bigot spread message 11 million people
942,1,If Donald Trump doesnt respect all Americans how can he serve all Americans,Donald Trump doesnt respect Americans serve Americans
943,1,In 2015 Trump launched his own campaign for president by describing Mexican immigrants as rapists and criminals,2015 Trump launched campaign president describing Mexican immigrants rapists criminals
944,1,Trump first gained political prominence promoting the racist lie that President Obama isnt really an American,Trump first gained political prominence promoting racist lie President Obama isnt really American
945,1,State regulators fined one of Trumps casinos for repeatedly removing black dealers from the floor,State regulators fined one Trumps casinos repeatedly removing black dealers floor
946,1,When Trump was getting his start in business he was sued by the Justice Dept for refusing to rent apartments to black and Latino tenants,Trump getting start business sued Justice Dept refusing rent apartments black Latino tenants
947,1,Trump is reinforcing harmful stereotypes and offering a dog whistle to his most hateful supporters,Trump reinforcing harmful stereotypes offering dog whistle hateful supporters
948,1,Donald Trump has built his campaign on prejudice and paranoia Hes taking hate groups mainstream,Donald Trump built campaign prejudice paranoia Hes taking hate groups mainstream
949,1,Everywhere I go people tell me how concerned they are by the divisive rhetoric coming from my opponent in this election Hillary,Everywhere go people tell concerned divisive rhetoric coming opponent election Hillary
950,1,Live from Reno Hillary discusses why realDonaldTrumps divisive rhetoric is so dangerous to our future,Live Reno Hillary discusses realDonaldTrumps divisive rhetoric dangerous future
951,1,Longtime Ku Klux Klan leader David Duke supports Donald Trump because they share so many of the same values,Longtime Ku Klux Klan leader David Duke supports Donald Trump share many values
952,1,America has a lot to lose by electing Trump But theres one group in particular who has everything to gain,America lot lose electing Trump theres one group particular everything gain
953,1,Why do so many Ku Klux Klan members support Trump A lot of what he believes we believe in,many Ku Klux Klan members support Trump lot believes believe
954,1,Thank you to the Orlando Health and Florida Hospital for showing empathy and kindness in the face of hate H,Thank Orlando Health Florida Hospital showing empathy kindness face hate H
955,1,Theres a reason the most hateful fringe of the right wing is supporting Donald Trump,Theres reason hateful fringe right wing supporting Donald Trump
956,0,So many in the AfricanAmerican community are doing so badly poverty and crime way up employment and jobs way down I will fix it promise,many AfricanAmerican community badly poverty crime way employment jobs way fix promise
957,0,Poll numbers are starting to look very good Leading in Florida CNN Arizona and big jump in Utah All numbers rising national way up Wow!,Poll numbers starting look good Leading Florida CNN Arizona big jump Utah numbers rising national way Wow!
958,0,Trump_Videos Nigel_Farage of the brexit fame We CAN do this! We can MAGA with realDonaldTrump,Trump_Videos Nigel_Farage brexit fame this! MAGA realDonaldTrump
959,1,He is taking a hate movement mainstream He has brought it into his campaign Hillary to andersoncooper on Trump,taking hate movement mainstream brought campaign Hillary andersoncooper Trump
960,0,Thoughts and prayers to the great people of Indiana You will prevail!,Thoughts prayers great people Indiana prevail!
961,0,Great Governor Mike_Pence is in Indiana to help lead the relief efforts after tornadoes struck True leadership,Great Governor Mike_Pence Indiana help lead relief efforts tornadoes struck True leadership
962,0,Will be on Hannity 10pE FoxNews discussing various subjects including immigrationif elected we will BuildTheWall amp enforce our laws!,Hannity 10pE FoxNews discussing various subjects including immigrationif elected BuildTheWall amp enforce laws!
963,1,8 things you can do today to help elect Hillary,8 things today help elect Hillary
964,0,Thank you for your support! AmericaFirst ImWithYou,Thank support! AmericaFirst ImWithYou
965,1,FACT The ClintonFdn helps 115 million people with HIVAIDS worldwide get their medication,FACT ClintonFdn helps 115 million people HIVAIDS worldwide get medication
966,0,A great afternoon in Tampa Florida Thank you! TrumpPence16,great afternoon Tampa Florida Thank you! TrumpPence16
967,1,Thinking about the people of both Italy and Myanmar as they respond to todays earthquakes My heart goes out to the victims families H,Thinking people Italy Myanmar respond todays earthquakes heart goes victims families H
968,1,Indiana organizer Hillary Rodham in 1976 Join her team,Indiana organizer Hillary Rodham 1976 Join team
969,1,EpiPens can be the difference between life and death Theres no justification for these price hikes H,EpiPens difference life death Theres justification price hikes H
970,0,New national poll released Join the MOVEMENT amp together we will MakeAmericaGreatAgain!,New national poll released Join MOVEMENT amp together MakeAmericaGreatAgain!
971,0,Great new poll Florida thank you! MakeAmericaGreatAgain,Great new poll Florida thank you! MakeAmericaGreatAgain
972,1,A message from Hillary to young women everywhere,message Hillary young women everywhere
973,0,I will not let the families of The Remembrance Project down! MakeAmericaSafeAgain,let families Remembrance Project down! MakeAmericaSafeAgain
974,0,My thoughts and prayers are with the victims and families of those affected by two powerful earthquakes in Italy and Myanmar,thoughts prayers victims families affected two powerful earthquakes Italy Myanmar
975,1,Its HFA Volunteer Day and were looking for 50000 volunteers Help us get therefind your friends on Facebook,HFA Volunteer Day looking 50000 volunteers Help us get therefind friends Facebook
976,0,Thank you Travis County Texas! MakeAmericaGreatAgain,Thank Travis County Texas! MakeAmericaGreatAgain
977,1,No matter how daunting the odds she nevereverquits That is the Hillary I know POTUS,matter daunting odds nevereverquits Hillary know POTUS
978,0,Will be participating in a Town Hall tonight on SeanHannity at 10pmE from Austin Texas Enjoy!,participating Town Hall tonight SeanHannity 10pmE Austin Texas Enjoy!
979,1,Why would we give Trumps family a 4 billion tax cut when we could use that money to fix 8000 bridges,would give Trumps family 4 billion tax cut could use money fix 8000 bridges
980,0,In Austin Texas with some of our amazing Border Patrol Agents I will not let them down!,Austin Texas amazing Border Patrol Agents let down!
981,1,The gender wage gap is even wider for women of color Its time to ensure equal pay BlackWomensEqualPay,gender wage gap even wider women color time ensure equal pay BlackWomensEqualPay
982,1,Small businesses are the backbone of our economy We should focus on supporting themnot stiffing them,Small businesses backbone economy focus supporting themnot stiffing
983,0,Join me in Tampa Florida tomorrow at 1pmE! Tickets,Join Tampa Florida tomorrow 1pmE! Tickets
984,0,President Obama should have gone to Louisiana days ago instead of golfing Too little too late!,President Obama gone Louisiana days ago instead golfing little late!
985,1,On average it takes black women until today to catch up to white mens 2015 earnings Time to close the pay gap,average takes black women today catch white mens 2015 earnings Time close pay gap
986,0,Hillary Clinton strongly stated that there was absolutely no connection between her private work and that of The State Department LIE!,Hillary Clinton strongly stated absolutely connection private work State Department LIE!
987,1,We heard Trumps demonizing comments on immigrants loud and clear the first time And the second third fourth,heard Trumps demonizing comments immigrants loud clear first time second third fourth
988,0,It is being reported by virtually everyone and is a fact that the media pile on against me is the worst in American political history!,reported virtually everyone fact media pile worst American political history!
989,0,I am now in Texas doing a big fundraiser for the Republican Party and a FoxNews Special on the BORDER and with victims of border crime!,Texas big fundraiser Republican Party FoxNews Special BORDER victims border crime!
990,1,Tune in to watch Hillary on JimmyKimmelLive 1135 ET1035 CT,Tune watch Hillary JimmyKimmelLive 1135 ET1035 CT
991,1,Donald Trumps economic plan is rigged so rich people like him get tax cuts at the expense of everybody else,Donald Trumps economic plan rigged rich people like get tax cuts expense everybody else
992,1,Have a beer with TimKaine in the second episode of With Her the official campaign podcast Listen here,beer TimKaine second episode official campaign podcast Listen
993,1,The stories behind some of the historymaking women of TeamUSA,stories behind historymaking women TeamUSA
994,0,The WashingtonPost quickly put together a hit job book on me comprised of copies of some of their inaccurate stories Dont buy boring!,WashingtonPost quickly put together hit job book comprised copies inaccurate stories Dont buy boring!
995,0,AnnCoulters new book In Trump We Trust comes out tomorrow People are saying its terrific knowing Ann I am sure it is!,AnnCoulters new book Trump Trust comes tomorrow People saying terrific knowing Ann sure is!
996,0,Just leaving Akron Ohio after a packed rally Amazing people! Going now to Texas,leaving Akron Ohio packed rally Amazing people! Going Texas
997,1,If I have the opportunity Ill do whatever I can to make things a little easier for you Hillary to young women,opportunity Ill whatever make things little easier Hillary young women
998,1,Cheryl lost her husband in Iraq Then Trumps company targeted her and scammed her out of 35000,Cheryl lost husband Iraq Trumps company targeted scammed 35000
999,0,Great meeting with active amp retired law enforcement officers at the Fraternal Order of Police lodge in Akron Ohio,Great meeting active amp retired law enforcement officers Fraternal Order Police lodge Akron Ohio
1000,1,In times of crisis America depends on steady leadership clear thinking and calm judgment,times crisis America depends steady leadership clear thinking calm judgment
1001,1,TimKaine takes the mic in the latest episode of With Her the official campaign podcast Subscribe amp listen here,TimKaine takes mic latest episode official campaign podcast Subscribe amp listen
1002,1,One wrong move can be the difference between life and death when youre president,One wrong move difference life death youre president
1003,1,The best way to help Louisianans affected by terrible flooding is to make sure they have the resources they need,best way help Louisianans affected terrible flooding make sure resources need
1004,1,Everything I say Im going to do folks I do realDonaldTrump Heres why thats a disaster for our economy,Everything say Im going folks realDonaldTrump Heres thats disaster economy
1005,0,Statement on Clinton Foundation,Statement Clinton Foundation
1006,0,Will be interviewed on foxandfriends at 830 AM Eastern ENJOY!,interviewed foxandfriends 830 Eastern ENJOY!
1007,0,Some day when things calm down Ill tell the real story of JoeNBC and his very insecure longtime girlfriend morningmika Two clowns!,day things calm Ill tell real story JoeNBC insecure longtime girlfriend morningmika Two clowns!
1008,0,Tried watching lowrated Morning_Joe this morning unwatchable! morningmika is off the wall a neurotic and not very bright mess!,Tried watching lowrated Morning_Joe morning unwatchable! morningmika wall neurotic bright mess!
1009,0,realbill2016 realDonaldTrump Brainykid2010 shl Trump leading LA Times poll,realbill2016 realDonaldTrump Brainykid2010 shl Trump leading LA Times poll
1010,1,This week Donald Trump made a shockingly ignorant pitch to African American voters,week Donald Trump made shockingly ignorant pitch African American voters
1011,0,Brainykid2010 shl realDonaldTrump The ad was actually very good!,Brainykid2010 shl realDonaldTrump ad actually good!
1012,0,55Lidsville TeamTrump KellyannePolls You need to show the crowds at the rallies use Periscope! Show HCs 139 YT viewers vs DT 38K,55Lidsville TeamTrump KellyannePolls need show crowds rallies use Periscope! Show HCs 139 YT viewers vs DT 38K
1013,0,SinAbunz_TM realDonaldTrump TRUMP VICTORY IN NOVEMBER! MAGA TrumpPence16,SinAbunz_TM realDonaldTrump TRUMP VICTORY NOVEMBER! MAGA TrumpPence16
1014,0,Jimbos2002 Morning_Joe Video Hillary referring to blacks as super predators that need to be brought to heel,Jimbos2002 Morning_Joe Video Hillary referring blacks super predators need brought heel
1015,0,I heard that Morning_Joe was very nice on Friday but that little Donny D a big failure in TV amp someone I helped was nasty Irrelevant!,heard Morning_Joe nice Friday little Donny big failure TV amp someone helped nasty Irrelevant!
1016,0,Crooked Hillary is flooding the airwaves with false and misleading ads all paid for by her bosses on Wall Street Media is protecting her!,Crooked Hillary flooding airwaves false misleading ads paid bosses Wall Street Media protecting her!
1017,0,I have been drawing very big and enthusiastic crowds but the media refuses to show or discuss them Something very big is happening!,drawing big enthusiastic crowds media refuses show discuss Something big happening!
1018,1,Her mastery of issues and detail is unlike any politician Ive met WIREDs editorinchief on Hillary,mastery issues detail unlike politician Ive met WIREDs editorinchief Hillary
1019,1,Hillary met with Miami doctors to discuss the public health challenge of treating and preventing Zika,Hillary met Miami doctors discuss public health challenge treating preventing Zika
1020,1,Congrats to Flint Michigans ClaressaShields on her second Olympic gold medal for TeamUSA,Congrats Flint Michigans ClaressaShields second Olympic gold medal TeamUSA
1021,1,Donald Trumps new message to African American voters isnt just inaccurate Its outrageous,Donald Trumps new message African American voters isnt inaccurate outrageous
1022,1,If you were president how would you spend 4 billion One guess as to Trumps answer,president would spend 4 billion One guess Trumps answer
1023,1,There is so much more that unites us than divides us Thats why were the greatest country on Earth,much unites us divides us Thats greatest country Earth
1024,1,This lifelong Republican wrote a letter to his daughter about why hes voting for Hillary this November,lifelong Republican wrote letter daughter hes voting Hillary November
1025,1,Its too late now to say sorry Donald,late say sorry Donald
1026,0,Together we are going to MAKE AMERICA SAFE AND GREAT AGAIN!,Together going MAKE AMERICA SAFE GREAT AGAIN!
1027,0,EyeCandyTMGayle realDonaldTrump please oh please take the CHARLOTTE NC speech ACROSS the swing states sooo powerful Good!,EyeCandyTMGayle realDonaldTrump please oh please take CHARLOTTE NC speech ACROSS swing states sooo powerful Good!
1028,0,J58golf realDonaldTrump been a great week More of the same will get you in the white house!,J58golf realDonaldTrump great week get white house!
1029,0,We will bring America together as ONE country again united as Americans in common purpose and common dreams MAGA,bring America together ONE country united Americans common purpose common dreams MAGA
1030,0,Will be back soon Virginia We are going to MAKE AMERICA GREAT AGAIN! TrumpPence16,back soon Virginia going MAKE AMERICA GREAT AGAIN! TrumpPence16
1031,0,Will be interviewed on JudgeJeanine at 900 PM Enjoy!,interviewed JudgeJeanine 900 PM Enjoy!
1032,1,If you dream it you should be able to build it,dream able build
1033,0,Just leaving Virginia really big crowd great enthusiasm!,leaving Virginia really big crowd great enthusiasm!
1034,1,This choice is pretty straightforward,choice pretty straightforward
1035,1,Donald Trump has shown us who he is We should believe him,Donald Trump shown us believe
1036,1,Trumps tax plan could give his own family a 4 billion tax break Heres what we could do with that money instead,Trumps tax plan could give family 4 billion tax break Heres could money instead
1037,0,Thank you JerryJrFalwell will see you soon TrumpPence16,Thank JerryJrFalwell see soon TrumpPence16
1038,1,Lets send Donald Trump a message in November Were not going back,Lets send Donald Trump message November going back
1039,1,I dont regret anything Donald Trump August 2 2016,dont regret anything Donald Trump August 2 2016
1040,1,This week Donald Trump suddenly tried to claim that he has some regrets About that,week Donald Trump suddenly tried claim regrets
1041,0,CatOnGlass 200000 new followers for realDonaldTrump From 10800000 to 11000000 All in the last ten days or so! MAGA AlwaysTrump,CatOnGlass 200000 new followers realDonaldTrump 10800000 11000000 last ten days so! MAGA AlwaysTrump
1042,1,Trump says he hires the best people This is what he means,Trump says hires best people means
1043,0,Franklin_Graham BillyNungesser SamaritansPurse so humbled by my time w you You are in our thoughts amp prayers,Franklin_Graham BillyNungesser SamaritansPurse humbled time w thoughts amp prayers
1044,0,We are one nation When one hurts we all hurt We must all work togetherto lift each other up StandWithLouisiana,one nation one hurts hurt must work togetherto lift StandWithLouisiana
1045,0,WheresHillary Sleeping!!!!!,WheresHillary Sleeping!!!!!
1046,1,This is so ignorant its staggering,ignorant staggering
1047,0,Thank you Michigan This is a MOVEMENT We are going to MAKE AMERICA SAFE AND GREAT AGAIN! TrumpPence16,Thank Michigan MOVEMENT going MAKE AMERICA SAFE GREAT AGAIN! TrumpPence16
1048,1,When the IOC introduced womens wrestling in 2004 Helen_Maroulis dreamed of gold Yesterday that dream came true,IOC introduced womens wrestling 2004 Helen_Maroulis dreamed gold Yesterday dream came true
1049,1,So who exactly is advising Trump on foreign policy,exactly advising Trump foreign policy
1050,1,Today is BillClintons birthday! Its not too late to sign his card here,Today BillClintons birthday! late sign card
1051,1,Why do Trump and Putin keep saying all the same things Hint Its not Manafort,Trump Putin keep saying things Hint Manafort
1052,1,The flooding in Louisiana is worse than anyone expected and they need our support Heres how you can help,flooding Louisiana worse anyone expected need support Heres help
1053,1,45 years later I couldnt be happier to have you by my side Happy birthday Bill! H,45 years later couldnt happier side Happy birthday Bill! H
1054,0,Great job by EricTrump on interview with BillHemmer on FoxNews ImWithYou TrumpTrain,Great job EricTrump interview BillHemmer FoxNews ImWithYou TrumpTrain
1055,0,Thank you to everyone for all of the nice comments by Twitter pundits and otherwise for my speech last night,Thank everyone nice comments Twitter pundits otherwise speech last night
1056,0,The reporting at the failing nytimes gets worse and worse by the day Fortunately it is a dying newspaper,reporting failing nytimes gets worse worse day Fortunately dying newspaper
1057,0,Thank you to NC for last evenings great reception The speech was a great success Heading now to Louisiana amp another speech tonight in MI,Thank NC last evenings great reception speech great success Heading Louisiana amp another speech tonight MI
1058,0,We are one nation When one state hurts we all hurt We must all work together to lift each other up,one nation one state hurts hurt must work together lift
1059,1,Priorities,Priorities
1060,0,Thank you Charlotte North Carolina! MakeAmericaGreatAgain,Thank Charlotte North Carolina! MakeAmericaGreatAgain
1061,0,Together we will MAKE AMERICA GREAT AGAIN!,Together MAKE AMERICA GREAT AGAIN!
1062,1,Congrats to usatfs Bri_Rollin ItsPooda and KristiHollywood on their historic podium sweep last night,Congrats usatfs Bri_Rollin ItsPooda KristiHollywood historic podium sweep last night
1063,1,Glad to see that the Justice Department is ending the use of private prisons This is the right step forward H,Glad see Justice Department ending use private prisons right step forward H
1064,1,Donald Trump wants to eliminate the estate tax Doing so could save his family 4 billion and 998 of families 0,Donald Trump wants eliminate estate tax could save family 4 billion 998 families 0
1065,0,CrookedHillary ThrowbackThursday,CrookedHillary ThrowbackThursday
1066,1,Donald Trump promised to release his tax returns if he ran for office Now Its none of your business,Donald Trump promised release tax returns ran office none business
1067,1,Wired sees only one person running for president who can do the job Hillary Clinton,Wired sees one person running president job Hillary Clinton
1068,1,Dont waste it Make sure youre registered to vote,Dont waste Make sure youre registered vote
1069,1,Donald Trumps plan a multibillion dollar tax cut for himself and the wealthiest Americans,Donald Trumps plan multibillion dollar tax cut wealthiest Americans
